Spectral gain,, Spectral noise,, Inverted population,,Forward Pump power,,Backward Pump Power,,Lowest signal gain,,Forward ASE,,Backwards ASE
Wavelength (nm), Gain (dB), Wavelength (nm), Noise (dB),Position (cm), Inverted Population (%), Position (cm), Power (mW), Position(cm), Power (mW),Position (cm), Gain (dB),Position (cm), Forwards ASE sum (mW), Position(cm), Backwards ASE sum (mW)
1530,2.141874782412546,1520,1.3740914784974174,0,58.99391616639537,0,100,0,0,0,0,0,0,0,0.001818629527455407
1531,2.0822607676412463,1520.5,1.4220924139575977,0.002002002002002002,58.97121063516283,0.002002002002002002,99.94019665027335,0.002002002002002002,0,0.002002002002002002,0.004635525463874438,0.002002002002002002,0.0000014954231220236808,0.002002002002002002,0.0018153003597674926
1532,2.0635573665000697,1521.0000000000002,1.4587341323743561,0.004004004004004004,58.94852929590285,0.004004004004004004,99.88039603440924,0.004004004004004004,0,0.004004004004004004,0.009263840734682926,0.004004004004004004,0.0000029917596638956295,0.004004004004004004,0.001811977374178554
1533,2.079367441672739,1521.5,1.4852529411243593,0.006006006006006006,58.92587213550529,0.006006006006006006,99.82059822550256,0.006006006006006006,0,0.006006006006006006,0.013884953498666672,0.006006006006006006,0.000004489007472693165,0.006006006006006006,0.0018086605532083673
1534,2.1007934995798316,1522,1.496862529275881,0.008008008008008008,58.90323914078164,0.008008008008008008,99.76080329651917,0.008008008008008008,0,0.008008008008008008,0.01849887143787777,0.008008008008008008,0.000005987164395628264,0.008008008008008008,0.0018053498794324142
1535,2.1329802890148786,1522.5,1.5312296412954765,0.01001001001001001,58.880630298465576,0.01001001001001001,99.70101132029595,0.01001001001001001,0,0.01001001001001001,0.02310560223014669,0.01001001001001001,0.000007486228280060102,0.01001001001001001,0.0018020453354817014
1536,2.177928212026123,1523,1.5671972958918499,0.012012012012012014,58.858045595213326,0.012012012012012014,99.64122236954069,0.012012012012012014,0,0.012012012012012014,0.027705153549064682,0.012012012012012014,0.000008986196973507592,0.012012012012012014,0.0017987469040425506
1537,2.241846245192253,1523.5,1.6270153385575776,0.014014014014014014,58.83548501760426,0.014014014014014014,99.58143651683197,0.014014014014014014,0,0.014014014014014014,0.03229753306395597,0.014014014014014014,0.000010487068323661842,0.014014014014014014,0.0017954545678564142
1538,2.292986954705834,1524.0000000000002,1.6669370520915603,0.016016016016016016,58.81294855214134,0.016016016016016016,99.52165383461917,0.016016016016016016,0,0.016016016016016016,0.036882748439853334,0.016016016016016016,0.000011988840178398588,0.016016016016016016,0.0017921683097196824
1539,2.3726546337108627,1524.5,1.7086969939714685,0.018018018018018018,58.79043618525153,0.018018018018018018,99.4618743952223,0.018018018018018018,0,0.018018018018018018,0.041460807337476945,0.018018018018018018,0.000013491510385790575,0.018018018018018018,0.0017888881124834843
1539.9999999999998,2.453296476064758,1525,1.7599336342591927,0.02002002002002002,58.76794790328628,0.02002002002002002,99.40209827083198,0.02002002002002002,0,0.02002002002002002,0.04603171741320599,0.02002002002002002,0.000014995076794119872,0.02002002002002002,0.0017856139590535021
1541,2.5371321680170267,1525.5,1.805794886498955,0.022022022022022025,58.74548369252209,0.022022022022022025,99.34232553350941,0.022022022022022025,0,0.022022022022022025,0.05059548631905934,0.022022022022022025,0.000016499537251890195,0.022022022022022025,0.0017823458323897748
1542,2.606456143810453,1526,1.8537343188890498,0.024024024024024024,58.72304353916082,0.024024024024024024,99.28255625518617,0.024024024024024024,0,0.024024024024024024,0.05515212170266708,0.024024024024024024,0.000018004889607839165,0.024024024024024024,0.0017790837155065161
1542.9999999999998,2.6966694920238874,1526.5000000000002,1.8969137581770181,0.026026026026026022,58.70062742933036,0.026026026026026022,99.22279050766429,0.026026026026026022,0,0.026026026026026022,0.05970163120725011,0.026026026026026022,0.00001951113171095038,0.026026026026026022,0.0017758275914719131
1544,2.7836482843587653,1527.0000000000002,1.9490604407816452,0.028028028028028028,58.67823534908491,0.028028028028028028,99.16302836261612,0.028028028028028028,0,0.028028028028028028,0.06424402247159827,0.028028028028028028,0.000021018261410465815,0.028028028028028028,0.0017725774434079503
1545,2.864198280420749,1527.5,2.0035194387717516,0.03003003003003003,58.65586728440557,0.03003003003003003,99.10326989158425,0.03003003003003003,0,0.03003003003003003,0.06877930313004309,0.03003003003003003,0.000022526276555897626,0.03003003003003003,0.001769333254490209
1546,2.9401441227710707,1528,2.050232781693781,0.03203203203203203,58.63352322120071,0.03203203203203203,99.04351516598149,0.03203203203203203,0,0.03203203203203203,0.07330748081243682,0.03203203203203203,0.000024035174997040475,0.03203203203203203,0.0017660950079476862
1547,3.0057503260303116,1528.5,2.1092696946359393,0.03403403403403404,58.61120314530648,0.03403403403403404,98.98376425709078,0.03403403403403404,0,0.03403403403403404,0.07782856314412703,0.03403403403403404,0.00002554495458398349,0.03403403403403404,0.0017628626870626123
1548,3.073679549256159,1529,2.1708508911755957,0.036036036036036036,58.588907042487335,0.036036036036036036,98.92401723606513,0.036036036036036036,0,0.036036036036036036,0.08234255774594015,0.036036036036036036,0.00002705561316712201,0.036036036036036036,0.001759636275170252
1549,3.1172606015966737,1529.5000000000002,2.2185525934019386,0.03803803803803804,58.56663489843635,0.03803803803803804,98.86427417392757,0.03803803803803804,0,0.03803803803803804,0.08684947223415217,0.03803803803803804,0.000028567148597169864,0.03803803803803804,0.0017564157556587314
1550,3.1684527183357565,1530,2.2886118148397316,0.04004004004004004,58.54438669877581,0.04004004004004004,98.8045351415711,0.04004004004004004,0,0.04004004004004004,0.09134931422046738,0.04004004004004004,0.00003007955872517104,0.04004004004004004,0.0017532011119688455
