Labels	EY1_2 lifetime	
Type	Time Scan	
Comment		
Start	0.00	
Stop	7.992E007	
Step	8E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

0.00	3.015E+3	
8E04	2.990E+3	
1.6E05	2.899E+3	
2.4E05	2.869E+3	
3.2E05	3.009E+3	
4E05	3.001E+3	
4.8E05	2.956E+3	
5.6E05	3.038E+3	
6.4E05	2.941E+3	
7.2E05	3.004E+3	
8E05	2.982E+3	
8.8E05	2.970E+3	
9.6E05	2.977E+3	
1.04E06	3.745E+3	
1.12E06	4.918E+3	
1.2E06	5.374E+3	
1.28E06	5.504E+3	
1.36E06	5.589E+3	
1.44E06	5.512E+3	
1.52E06	5.468E+3	
1.6E06	5.485E+3	
1.68E06	5.521E+3	
1.76E06	5.547E+3	
1.84E06	5.475E+3	
1.92E06	5.272E+3	
2E06	5.324E+3	
2.08E06	5.337E+3	
2.16E06	5.346E+3	
2.24E06	5.150E+3	
2.32E06	5.310E+3	
2.4E06	5.333E+3	
2.48E06	5.292E+3	
2.56E06	5.261E+3	
2.64E06	5.080E+3	
2.72E06	5.231E+3	
2.8E06	5.001E+3	
2.88E06	5.092E+3	
2.96E06	5.208E+3	
3.04E06	4.996E+3	
3.12E06	5.007E+3	
3.2E06	5.046E+3	
3.28E06	5.096E+3	
3.36E06	4.985E+3	
3.44E06	4.918E+3	
3.52E06	4.882E+3	
3.6E06	4.957E+3	
3.68E06	4.839E+3	
3.76E06	4.878E+3	
3.84E06	4.979E+3	
3.92E06	4.777E+3	
4E06	4.904E+3	
4.08E06	4.893E+3	
4.16E06	4.763E+3	
4.24E06	4.798E+3	
4.32E06	4.854E+3	
4.4E06	4.839E+3	
4.48E06	4.709E+3	
4.56E06	4.855E+3	
4.64E06	4.679E+3	
4.72E06	4.612E+3	
4.8E06	4.734E+3	
4.88E06	4.582E+3	
4.96E06	4.565E+3	
5.04E06	4.576E+3	
5.12E06	4.657E+3	
5.2E06	4.573E+3	
5.28E06	4.419E+3	
5.36E06	4.655E+3	
5.44E06	4.534E+3	
5.52E06	4.537E+3	
5.6E06	4.475E+3	
5.68E06	4.549E+3	
5.76E06	4.501E+3	
5.84E06	4.387E+3	
5.92E06	4.420E+3	
6E06	4.516E+3	
6.08E06	4.488E+3	
6.16E06	4.349E+3	
6.24E06	4.334E+3	
6.32E06	4.373E+3	
6.4E06	4.281E+3	
6.48E06	4.350E+3	
6.56E06	4.275E+3	
6.64E06	4.318E+3	
6.72E06	4.365E+3	
6.8E06	4.154E+3	
6.88E06	4.248E+3	
6.96E06	4.238E+3	
7.04E06	4.328E+3	
7.12E06	4.257E+3	
7.2E06	4.438E+3	
7.28E06	4.109E+3	
7.36E06	4.195E+3	
7.44E06	4.220E+3	
7.52E06	4.074E+3	
7.6E06	4.154E+3	
7.68E06	4.231E+3	
7.76E06	4.140E+3	
7.84E06	4.143E+3	
7.92E06	4.191E+3	
8E06	4.250E+3	
8.08E06	4.110E+3	
8.16E06	4.140E+3	
8.24E06	4.191E+3	
8.32E06	3.975E+3	
8.4E06	4.038E+3	
8.48E06	4.108E+3	
8.56E06	4.112E+3	
8.64E06	3.930E+3	
8.72E06	3.918E+3	
8.8E06	3.948E+3	
8.88E06	3.975E+3	
8.96E06	4.117E+3	
9.04E06	4.049E+3	
9.12E06	4.041E+3	
9.2E06	4.026E+3	
9.28E06	3.809E+3	
9.36E06	3.942E+3	
9.44E06	3.850E+3	
9.52E06	3.841E+3	
9.6E06	3.868E+3	
9.68E06	3.890E+3	
9.76E06	3.966E+3	
9.84E06	3.923E+3	
9.92E06	3.770E+3	
1E07	3.903E+3	
1.008E007	3.794E+3	
1.016E007	3.823E+3	
1.024E007	3.870E+3	
1.032E007	3.781E+3	
1.04E07	3.847E+3	
1.048E007	3.746E+3	
1.056E007	3.790E+3	
1.064E007	3.839E+3	
1.072E007	3.821E+3	
1.08E07	3.696E+3	
1.088E007	3.892E+3	
1.096E007	3.809E+3	
1.104E007	3.794E+3	
1.112E007	3.826E+3	
1.12E07	3.729E+3	
1.128E007	3.820E+3	
1.136E007	3.687E+3	
1.144E007	3.705E+3	
1.152E007	3.692E+3	
1.16E07	3.827E+3	
1.168E007	3.654E+3	
1.176E007	3.659E+3	
1.184E007	3.690E+3	
1.192E007	3.695E+3	
1.2E07	3.663E+3	
1.208E007	3.648E+3	
1.216E007	3.610E+3	
1.224E007	3.742E+3	
1.232E007	3.677E+3	
1.24E07	3.679E+3	
1.248E007	3.653E+3	
1.256E007	3.622E+3	
1.264E007	3.582E+3	
1.272E007	3.587E+3	
1.28E07	3.604E+3	
1.288E007	3.544E+3	
1.296E007	3.622E+3	
1.304E007	3.660E+3	
1.312E007	3.668E+3	
1.32E07	3.587E+3	
1.328E007	3.525E+3	
1.336E007	3.625E+3	
1.344E007	3.552E+3	
1.352E007	3.547E+3	
1.36E07	3.448E+3	
1.368E007	3.597E+3	
1.376E007	3.588E+3	
1.384E007	3.538E+3	
1.392E007	3.523E+3	
1.4E07	3.592E+3	
1.408E007	3.504E+3	
1.416E007	3.619E+3	
1.424E007	3.459E+3	
1.432E007	3.633E+3	
1.44E07	3.535E+3	
1.448E007	3.514E+3	
1.456E007	3.481E+3	
1.464E007	3.554E+3	
1.472E007	3.407E+3	
1.48E07	3.526E+3	
1.488E007	3.535E+3	
1.496E007	3.457E+3	
1.504E007	3.491E+3	
1.512E007	3.476E+3	
1.52E07	3.543E+3	
1.528E007	3.373E+3	
1.536E007	3.464E+3	
1.544E007	3.379E+3	
1.552E007	3.420E+3	
1.56E07	3.426E+3	
1.568E007	3.453E+3	
1.576E007	3.379E+3	
1.584E007	3.374E+3	
1.592E007	3.426E+3	
1.6E07	3.363E+3	
1.608E007	3.310E+3	
1.616E007	3.452E+3	
1.624E007	3.438E+3	
1.632E007	3.400E+3	
1.64E07	3.484E+3	
1.648E007	3.361E+3	
1.656E007	3.386E+3	
1.664E007	3.426E+3	
1.672E007	3.380E+3	
1.68E07	3.500E+3	
1.688E007	3.422E+3	
1.696E007	3.345E+3	
1.704E007	3.347E+3	
1.712E007	3.442E+3	
1.72E07	3.345E+3	
1.728E007	3.396E+3	
1.736E007	3.359E+3	
1.744E007	3.306E+3	
1.752E007	3.446E+3	
1.76E07	3.348E+3	
1.768E007	3.316E+3	
1.776E007	3.345E+3	
1.784E007	3.353E+3	
1.792E007	3.266E+3	
1.8E07	3.302E+3	
1.808E007	3.215E+3	
1.816E007	3.284E+3	
1.824E007	3.273E+3	
1.832E007	3.241E+3	
1.84E07	3.350E+3	
1.848E007	3.306E+3	
1.856E007	3.229E+3	
1.864E007	3.335E+3	
1.872E007	3.298E+3	
1.88E07	3.307E+3	
1.888E007	3.364E+3	
1.896E007	3.261E+3	
1.904E007	3.309E+3	
1.912E007	3.425E+3	
1.92E07	3.284E+3	
1.928E007	3.320E+3	
1.936E007	3.242E+3	
1.944E007	3.192E+3	
1.952E007	3.369E+3	
1.96E07	3.208E+3	
1.968E007	3.267E+3	
1.976E007	3.319E+3	
1.984E007	3.268E+3	
1.992E007	3.293E+3	
2E07	3.208E+3	
2.008E007	3.288E+3	
2.016E007	3.270E+3	
2.024E007	3.157E+3	
2.032E007	3.286E+3	
2.04E07	3.187E+3	
2.048E007	3.272E+3	
2.056E007	3.259E+3	
2.064E007	3.267E+3	
2.072E007	3.168E+3	
2.08E07	3.333E+3	
2.088E007	3.210E+3	
2.096E007	3.214E+3	
2.104E007	3.205E+3	
2.112E007	3.212E+3	
2.12E07	3.161E+3	
2.128E007	3.163E+3	
2.136E007	3.318E+3	
2.144E007	3.140E+3	
2.152E007	3.233E+3	
2.16E07	3.159E+3	
2.168E007	3.230E+3	
2.176E007	3.270E+3	
2.184E007	3.144E+3	
2.192E007	3.312E+3	
2.2E07	3.267E+3	
2.208E007	3.158E+3	
2.216E007	3.294E+3	
2.224E007	3.142E+3	
2.232E007	3.147E+3	
2.24E07	3.110E+3	
2.248E007	3.207E+3	
2.256E007	3.201E+3	
2.264E007	3.171E+3	
2.272E007	3.268E+3	
2.28E07	3.138E+3	
2.288E007	3.140E+3	
2.296E007	3.069E+3	
2.304E007	3.200E+3	
2.312E007	3.144E+3	
2.32E07	3.120E+3	
2.328E007	3.191E+3	
2.336E007	3.219E+3	
2.344E007	3.115E+3	
2.352E007	3.185E+3	
2.36E07	3.071E+3	
2.368E007	3.214E+3	
2.376E007	3.191E+3	
2.384E007	3.196E+3	
2.392E007	3.133E+3	
2.4E07	3.179E+3	
2.408E007	3.188E+3	
2.416E007	3.141E+3	
2.424E007	3.126E+3	
2.432E007	3.102E+3	
2.44E07	3.149E+3	
2.448E007	3.090E+3	
2.456E007	3.147E+3	
2.464E007	3.149E+3	
2.472E007	3.178E+3	
2.48E07	3.086E+3	
2.488E007	3.171E+3	
2.496E007	3.154E+3	
2.504E007	3.091E+3	
2.512E007	3.048E+3	
2.52E07	3.010E+3	
2.528E007	3.090E+3	
2.536E007	3.175E+3	
2.544E007	3.166E+3	
2.552E007	3.180E+3	
2.56E07	3.209E+3	
2.568E007	3.139E+3	
2.576E007	3.162E+3	
2.584E007	3.124E+3	
2.592E007	3.142E+3	
2.6E07	3.131E+3	
2.608E007	3.216E+3	
2.616E007	3.123E+3	
2.624E007	3.203E+3	
2.632E007	3.197E+3	
2.64E07	3.138E+3	
